1/1 feasible solution given by solution candidate storage, new primal bound 2.018452e+05

presolving:
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) symmetry computation finished: 3 generators found (max: 1500, log10 of symmetry group size: 1.08) (symcode time: 0.00)
dynamic symmetry handling statistics:
   orbitopal reduction:       no components
   orbital reduction:          1 components of sizes 3
   lexicographic reduction:    3 permutations with support sizes 120, 8040, 8040
handled 1 out of 1 symmetry components
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 12060 variables (12060 bin, 0 int, 0 impl, 0 cont) and 510 constraints
    510 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  205s|  7800 |  7689 |149783 |  19.0 |   380M |  86 |  12k| 761 | 380 |2147 |  1 | 557 |3675 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  208s|  7900 |  7789 |151648 |  19.0 |   381M |  86 |  12k| 762 | 371 |2169 |  2 | 560 |3684 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  210s|  8000 |  7887 |152620 |  18.9 |   382M |  86 |  12k| 780 | 373 |2195 |  1 | 580 |3730 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  212s|  8100 |  7987 |153755 |  18.8 |   382M |  86 |  12k| 778 | 372 |2208 |  1 | 581 |3734 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  214s|  8200 |  8087 |154677 |  18.7 |   383M |  86 |  12k| 781 | 372 |2225 |  1 | 585 |3737 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  215s|  8300 |  8187 |156187 |  18.7 |   383M |  86 |  12k| 777 | 368 |2241 |  1 | 585 |3738 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  218s|  8400 |  8287 |157866 |  18.6 |   386M |  86 |  12k| 777 | 371 |2272 |  1 | 585 |3747 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  220s|  8500 |  8385 |159200 |  18.6 |   387M |  86 |  12k| 779 | 370 |2292 |  1 | 589 |3757 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  222s|  8600 |  8481 |160361 |  18.5 |   387M |  86 |  12k| 780 |   0 |2301 |  0 | 590 |3757 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
Restart triggered after 50 consecutive estimations that the remaining tree will be large
  224s|  8700 |  8579 |162000 |  18.5 |   387M |  86 |  12k| 786 | 372 |2330 |  1 | 608 |3779 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  226s|  8800 |  8677 |163351 |  18.4 |   390M |  86 |  12k| 783 | 375 |2345 |  2 | 608 |3780 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  228s|  8900 |  8777 |165141 |  18.4 |   390M |  86 |  12k| 782 | 374 |2371 |  1 | 608 |3782 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  231s|  9000 |  8877 |166851 |  18.4 |   391M |  86 |  12k| 820 | 368 |2395 |  1 | 649 |3857 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  234s|  9100 |  8963 |167965 |  18.3 |   392M |  92 |  12k| 840 | 370 |2413 |  2 | 684 |3892 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  236s|  9200 |  9063 |169396 |  18.3 |   396M |  92 |  12k| 850 | 374 |2433 |  1 | 696 |3892 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
